Company:,Scotts ID:,Legal Name:,# of Employees:,Address:,Sales:,Square Footage:,Telephone:,Year Established:,Head Office:,Geocoded By:,Fax:,Web Site:,Census Division:,Executives:,NAICS:,Business Types:,Products:,Exporter (Y/N):,Location Address:
OtoSim Inc.,114931341,OtoSim Inc.,10,555 University Ave,N/A,,647-792-7735,2011,,Address,,www.otosim.com,"Toronto Metropolitan Municipality, ON",Mr. Paul MacDonald-Dir-Sls,"541514-Computer Systems Design and Related Services (Except Video Game Design and Development)
541710-Research and Development in the Physical, Engineering and Life Sciences
611710-Educational Support Services","Professional, Scientific & Technical Services
Educational Services","Training material development, Research: medical",N,"555 University AveRoom-8436Toronto,ONM5G1X8"
Our Lady of Lourdes School,33412587,Our Lady of Lourdes Catholic School,18,444 Sherbourne St,N/A,,416-393-5221,,,Address,416-393-5806,ourladyoflourdes.tcdsb.org,"Toronto Metropolitan Municipality, ON","Mr. Adrian Pope -V-Prin
Mr. Ryan Peterson-Schl Prin",611110-Elementary and Secondary Schools,Educational Services,School: elementary,,"444 Sherbourne StToronto,ONM4X1K2"
Our Lady of Perpetual Help,33413460,Our Lady of Perpetual Help Catholic Elementary School,45,1 1/2 Garfield Ave,N/A,,416-393-5239,,,Address,416-393-5818,ourladyofperpetualhelp.tcdsb.org,"Toronto Metropolitan Municipality, ON","Ms. Katherine Banfield -Schl Prin
Ms. Tania Strezzella-Admin",611110-Elementary and Secondary Schools,Educational Services,"School: elementary, School",,"1 1/2 Garfield AveToronto,ONM4T1E6"
Our Lady Of Sorrows School,33416612,Our Lady of Sorrows Catholic School,8,32 Montgomery Rd,N/A,,416-393-5246,,,Address,416-393-5031,ourladyofsorrows.tcdsb.org,"Toronto Metropolitan Municipality, ON","Ms. Maria Volpe -V-Prin
Mrs. Mary Dorn-Schl Prin",611110-Elementary and Secondary Schools,Educational Services,School: elementary,,"32 Montgomery RdToronto,ONM8X1Z4"
Out of the Box Associates Inc.,36190635,Out of the Box Associates Inc.,5,205-181 Carlaw Ave,$1-5 Million,,416-698-8335,2003,,Address,416-698-8369,www.ootba.ca,"Toronto Metropolitan Municipality, ON","Mr. Craig Moffatt-Sls Mgr
Ms. Jennifer Ross-Bus Dev Mgr","417920-Service Establishment Machinery, Equipment and Supplies Merchant Wholesalers
418210-Stationery and Office Supplies Merchant Wholesalers
541611-Administrative Management and General Management Consulting Services
414390-Other Home Furnishings Merchant Wholesalers
417910-Office and Store Machinery and Equipment Merchant Wholesalers
417230-Industrial Machinery, Equipment and Supplies Merchant Wholesalers","Distributor
Professional, Scientific & Technical Services","Space management consultants, Filing systems, Filing systems: mobile, Shelving: library, Storage units: vertical shuttle, Shelving: high density, Shelving & storage system: mechanical, Storage systems: mobile",N,"205-181 Carlaw AveToronto,ONM4M2S1"
Outdoor Outfits Ltd.,18560749,Outdoor Outfits Ltd.,80,372 Richmond St W,$5-10 Million,"20,000",416-598-4111,1945,,Address,416-598-4626,www.outdooroutfits.com,"Toronto Metropolitan Municipality, ON",Mr. Franklin Switzer-Pres,"315220-Men's and Boys' Cut and Sew Clothing Manufacturing
315210-Cut and Sew Clothing Contracting
315249-Women's and Girls' Cut and Sew Clothing Manufacturing
315289-All Other Cut and Sew Clothing Manufacturing
316990-Other Leather and Allied Product Manufacturing
313320-Fabric CoatingISO #s:9001",Manufacturer,"Clothing: public service, Overalls & work clothes, Coveralls, Pants: uniform, Outerwear, Clothing: waterproof, Fabrics: breathable, Rainwear, Jackets/vests: leather, Parkas",YExport Countries:Worldwide,"372 Richmond St WFloor 4Toronto,ONM5V1X6"
Outside Music Inc.,23565396,Outside Music Inc.,24,210-7 Labatt Ave,$25-50 Million,,416-461-0655,1995,,Address,416-461-0973,www.outside-music.com,"Toronto Metropolitan Municipality, ON","Mr. Lloyd Nishimura-Pres
Ms. Maria Pettler-Assoc Dir",414440-Sound Recording Merchant Wholesalers,Distributor,Discs: compact,N,"210-7 Labatt AveToronto,ONM5A1Z1"
Outsource Computronics,84100082,Outsource Computronics,10,986 St Clair Ave W,N/A,,416-925-4036,2007,,Address,416-925-2015,www.outsourcecomputronics.com,"Toronto Metropolitan Municipality, ON",Mr. Mustafa Akbar-Owner,"417910-Office and Store Machinery and Equipment Merchant Wholesalers
517111-Wired Telecommunications Carriers (except Cable)
417320-Electronic Components, Navigational and Communications Equipment and Supplies Merchant Wholesalers
541514-Computer Systems Design and Related Services (Except Video Game Design and Development)
811210-Electronic and Precision Equipment Repair and Maintenance","Services
Information and Cultural Industries
Professional, Scientific & Technical Services
Distributor
Wholesaler","Fax equipment repair, Computer network managing, Computer network products, Fax equipment, Fax transmission services, Computer repair & maintenance",N,"986 St Clair Ave WToronto,ONM6E1A2"
Outward Bound Canada,35903344,Outward Bound Canada,25,201-550 Bayview Ave,$1-5 Million,,,1969,,Address,705-224-5959,www.outwardbound.ca,"Toronto Metropolitan Municipality, ON",Ms. Sarah Wiley-Exec Dir,813910-Business Associations,Services,Association: non-profit,N,201-550 Bayview AveBldg 1M4W3X8
Outward Bound Canada,35903344,Outward Bound Canada,25,201-550 Bayview Ave,$1-5 Million,,,1969,,Address,705-224-5959,www.outwardbound.ca,"Toronto Metropolitan Municipality, ON",Ms. Sarah Wiley-Exec Dir,813910-Business Associations,Services,Association: non-profit,N,201-550 Bayview AveBldg 1M4W3X8
OVE Brand Design Inc.,18560757,OVE Brand Design Inc.,23,555-111 Queen St E,$1-5 Million,"15,000",416-423-6228,1981,,Address,416-925-7341,www.ovedesign.com,"Toronto Metropolitan Municipality, ON","Mrs. Monica Kessler-VP
Mr. Michel Viau-Pres
Ms. Deborah Arbus-SVP Brand Director","541430-Graphic Design Services
541619-Other Management Consulting Services","Professional, Scientific & Technical Services","Graphic art & design services, Branding & visual identity services",N,"555-111 Queen St EToronto,ONM5C1S2"
Ove Industrial Design Ltd.,24322977,Ove Industrial Design Ltd.,6,607-150 Roehampton Ave,Under $1 Million,,416-932-8505,1993,,Address,,www.oveid.com,"Toronto Metropolitan Municipality, ON",Mr. Tim Poupore-Owner,"541490-Other Specialized Design Services
541330-Engineering Services
541420-Industrial Design Services","Professional, Scientific & Technical Services","Engineering services: design, Industrial design services, Product design & development",N,"607-150 Roehampton AveToronto,ONM4P0A2"
OverCat Communications,19058610,OverCat Communications,8,84 Avenue Rd,Under $1 Million,,416-966-9970,1990,,Address,416-966-8775,www.overcatcommunications.com,"Toronto Metropolitan Municipality, ON","Ms. Caleigh Anthony-VP
Ms. Gillian DiCesare-Acct Dir
Ms. Audrey Hyams Romoff-Owner",541820-Public Relations Services,"Professional, Scientific & Technical Services",Public relations firm,N,"84 Avenue RdToronto,ONM5R2H2"
Owens Wright LLP,32437453,Owens Wright LLP,40,300-20 Holly St,$1-5 Million,,416-486-9800,1978,,Address,416-486-3309,www.owenswright.com,"Toronto Metropolitan Municipality, ON","Mr. Roey Kert-Partner
Mr. James Morrow-Partner
Mr. Douglas Owens-Partner
Mr. Arthur Shapiro-Partner
Mr. Gary Siskind-Partner
Mr. John Wright-Partner
Mr. Christopher Balkos-Associate",541110-Offices of Lawyers,"Professional, Scientific & Technical Services","Legal firm: corporate law, Legal firm: real estate",N,"300-20 Holly StToronto,ONM4S3B1"
Owl Time Clock,18577380,Owl Time Clock,15,6-310 Judson St,$5-10 Million,"15,000",416-252-1186,1965,,Address,416-255-1565,www.owltimeclock.com,"Toronto Metropolitan Municipality, ON","Mr. Wayne Metcalf-Pres
Mrs. Tracy Parzych-CEO
Mr. Ted Walania-Purch Mgr","417910-Office and Store Machinery and Equipment Merchant Wholesalers
417320-Electronic Components, Navigational and Communications Equipment and Supplies Merchant Wholesalers
541514-Computer Systems Design and Related Services (Except Video Game Design and Development)
541611-Administrative Management and General Management Consulting Services
511211-Software Publishers (Except Video Game Publishers)
417310-Computer, Computer Peripheral and Pre-Packaged Software Merchant Wholesalers
417920-Service Establishment Machinery, Equipment and Supplies Merchant Wholesalers
417930-Professional Machinery, Equipment and Supplies Merchant Wholesalers","Information and Cultural Industries
Distributor
Professional, Scientific & Technical Services","Recorders: time, Racks, Computer software, Cards: access, Timers, Clocks: time recording, Data collection systems, Security systems: computer access control, Security equipment, Computer software development, Security devices: biometric, Computer support services, Management consultants: time & workforce","YExport Countries:United States, England, Australia, Trinidad & Tobago",6-310 Judson StM8Z5T6
"Owlkids - Chirp, chickaDEE",30150700,"Owlkids - Chirp, chickaDEE, OWL",31,400-10 Lower Spadina Ave,$5-10 Million,,416-340-2700,1976,Bayard Presse Canada Inc.4475 Rue FrontenacMontréalQCH2H2S2,Address,416-340-9769,www.owlkids.com,"Toronto Metropolitan Municipality, ON","Ms. Charmaine Thompson-Dir-Circ/Mktg
Kendra Brown-Editor OWL Magazine
Angela Keenlyside-Pub",511120-Periodical Publishers,Information and Cultural Industries,Publishing: magazine,N,"400-10 Lower Spadina AveToronto,ONM5V2Z2"
Owlkids Books Inc.,34474354,Owlkids Books Inc.,7,400-10 Lower Spadina Ave,$1-5 Million,,416-340-2700,1972,Bayard Presse Canada Inc.4475 Rue FrontenacMontréalQCH2H2S2,Address,416-340-9769,www.owlkids.com,"Toronto Metropolitan Municipality, ON","Ms. Judy Brunsek-Dir Sls/Mktg-Youth Books
Ms. Angela Keenlyside-Grp Pub",511130-Book Publishers,Information and Cultural Industries,Publishing: book,YExport Countries:United States,"400-10 Lower Spadina AveToronto,ONM5V2Z2"
Oxford Learning Centre,75855513,Oxford Learning Centre,5,2191 Queen St E,Under $1 Million,,416-686-1430,1998,Oxford Learning Centre230-747 Hyde Park RdLondonONN6H3S3,Address,416-686-1432,www.oxfordlearning.com,"Toronto Metropolitan Municipality, ON","Ms. Angela Marseglia-Ctr Dir
Ms. Trina Mendoza-Co-Dir-Educ
Mr. Alex Rutherford-Co-Dir-Educ",611690-All Other Schools and Instruction,Educational Services,Educational tutoring,N,"2191 Queen St EToronto,ONM4E1E5"
"Oxford Learning Centres, Inc.",196804237,"Oxford Learning Centres, Inc.",,200-481 Eglinton Ave W,N/A,,416-367-4455,,Oxford Learning Centre230-747 Hyde Park RdLondonONN6H3S3,Address,,,"Toronto Metropolitan Municipality, ON",,"611710-Educational Support Services
611690-All Other Schools and Instruction",Educational Services,"Educational tutoring, Educational support services",,"200-481 Eglinton Ave WToronto,ONM5N1A7"
"Oxford Learning Centres, Inc.",196804241,"Oxford Learning Centres, Inc.",7,406 B Pacific Ave,N/A,,416-762-4447,,Oxford Learning Centre230-747 Hyde Park RdLondonONN6H3S3,Address,,,"Toronto Metropolitan Municipality, ON","Ms. Hanna Gernega-Ctr Owner/Dir
Ms. Lovleen Nahil-Dir-Educ","611710-Educational Support Services
611690-All Other Schools and Instruction",Educational Services,"Educational tutoring, Educational support services",,"406 B Pacific AveToronto,ONM6P2R4"
"Oxford Learning Centres, Inc.",196804247,"Oxford Learning Centres, Inc.",12,44 St Clair Ave E,N/A,,416-710-1858,,Oxford Learning Centre230-747 Hyde Park RdLondonONN6H3S3,Address,,,"Toronto Metropolitan Municipality, ON","Arifa Gafur-Dir-Educ
Ms. Natalie Mazzaserro-Dir-Educ","611710-Educational Support Services
611690-All Other Schools and Instruction",Educational Services,"Educational tutoring, Educational support services",,"44 St Clair Ave E2nd FloorToronto,ONM4T1M9"
Oxford Properties Group,18746125,Oxford Properties Group,6,810-10 Bay St,Under $1 Million,,416-360-4611,,Oxford Properties Group900-200 Bay StTorontoONM5J2J2,Address,416-360-7637,www.oxfordproperties.com,"Toronto Metropolitan Municipality, ON",Mr. Dion Difebo-Gen Mgr,531310-Real Estate Property Managers,Real Estate,Real estate property management,N,"810-10 Bay StToronto,ONM5J2R8"
Oxford Properties Group,196802595,Oxford Properties Group,5,900-200 Bay St,N/A,,416-865-8300,,,Address,416-868-3799,www.oxfordproperties.com,"Toronto Metropolitan Municipality, ON",,531310-Real Estate Property Managers,Real Estate,Real estate property management,,900-200 Bay StM5J2J2
Oxford Properties Group,196802653,Oxford Properties Group,"2,000",100 Adelaide St W,N/A,,416-865-8408,,Oxford Properties Group900-200 Bay StTorontoONM5J2J2,Address,,www.oxfordproperties.com,"Toronto Metropolitan Municipality, ON",Nick Kordic-Leasing Contact,531120-Lessors of Non-Residential Buildings (except Mini-Warehouses),Real Estate,Shopping centers: management/operation,,100 Adelaide St WM5H3P7
Oxford Properties Group,196802656,Oxford Properties Group,,2200 Yonge St,N/A,,416-350-7939,,Oxford Properties Group900-200 Bay StTorontoONM5J2J2,Address,,www.oxfordproperties.com,"Toronto Metropolitan Municipality, ON",Sonya Donovan-Leasing Contact,531120-Lessors of Non-Residential Buildings (except Mini-Warehouses),Real Estate,Shopping centers: management/operation,,2200 Yonge StM4R2C4
Oxford Properties Group,196802657,Oxford Properties Group,5,900 -100 Adelaide St W,N/A,,416-865-8408,,Oxford Properties Group900-200 Bay StTorontoONM5J2J2,Address,,www.oxfordproperties.com,"Toronto Metropolitan Municipality, ON",Nick Kordic-Leasing Contact,531120-Lessors of Non-Residential Buildings (except Mini-Warehouses),Real Estate,Shopping centers: property operation only,,900 -100 Adelaide St WM5H0E2
Oxford Properties Group,196802651,Oxford Properties Group,,111 Richmond St W,N/A,,416-865-8408,,Oxford Properties Group900-200 Bay StTorontoONM5J2J2,Address,,www.oxfordproperties.com,"Toronto Metropolitan Municipality, ON",Nick Kordic-Leasing Contact,531120-Lessors of Non-Residential Buildings (except Mini-Warehouses),Real Estate,Shopping centers: property operation only,,111 Richmond St WM5H2G4
Oxford Properties Group,196802662,Oxford Properties Group,4,1 University Ave,N/A,,416-865-8401,,Oxford Properties Group900-200 Bay StTorontoONM5J2J2,Address,,www.oxfordproperties.com,"Toronto Metropolitan Municipality, ON",Mya Rahimian-Leasing Contact,531120-Lessors of Non-Residential Buildings (except Mini-Warehouses),Real Estate,Shopping centers: management/operation,,1 University AveM5J2P1
Oxford Properties Group - 1101 Bay St,19783291,Oxford Properties Group - 1101 Bay St,7,1101 Bay St,$1-5 Million,,416-920-9588,,Oxford Properties Group900-200 Bay StTorontoONM5J2J2,Address,416-968-9737,www.oxfordproperties.com,"Toronto Metropolitan Municipality, ON","Ms. Aida Dagdag-Residential Mgr
Mr. Artemio Dagdag-Residential Mgr",531111-Lessors of Residential Buildings and Dwellings (except Social Housing Projects),Real Estate,"Property management: residential, Rental: apartment",N,"1101 Bay StToronto,ONM5S2W8"
Oxford Properties Group - Canada Square,196802658,Oxford Properties Group - Canada Square,6,2180 Yonge St,N/A,,416-350-7939,,Oxford Properties Group900-200 Bay StTorontoONM5J2J2,Address,,www.oxfordproperties.com,"Toronto Metropolitan Municipality, ON",Sonya Donovan-Leasing Contact,531120-Lessors of Non-Residential Buildings (except Mini-Warehouses),Real Estate,Shopping centers: management/operation,,2180 Yonge StM4S2B9
Oxford Properties Group - CDCF,196802704,Oxford Properties Group - CDCF,6,315 Front St W,N/A,,416-865-8401,,Oxford Properties Group900-200 Bay StTorontoONM5J2J2,Address,,www.oxfordproperties.com,"Toronto Metropolitan Municipality, ON",Mya Rahimian-Leasing Contact,531310-Real Estate Property Managers,Real Estate,Property management,,315 Front St WM5V3A4
Oxford Properties Group - Citigroup Place,196802659,Oxford Properties Group - Citigroup Place,5,123 Front St W,N/A,,416-865-8401,,Oxford Properties Group900-200 Bay StTorontoONM5J2J2,Address,,www.oxfordproperties.com,"Toronto Metropolitan Municipality, ON",Mya Rahimian-Leasing Contact,531120-Lessors of Non-Residential Buildings (except Mini-Warehouses),Real Estate,Shopping centers: management/operation,,123 Front St WM5J2M2
Oxford Properties Group - Industrial,196802636,Oxford Properties Group - Industrial,,900 -100 Adelaide St West,N/A,,647-591-2656,,Oxford Properties Group900-200 Bay StTorontoONM5J2J2,Address,,www.oxfordproperties.com,"Toronto Metropolitan Municipality, ON",Mr. Doug Scarlett-Dir,531310-Real Estate Property Managers,Real Estate,Property management: industrial,,900 -100 Adelaide St WestM5H0E2
Oxford Properties Group - Jazz,196802615,Oxford Properties Group - Jazz,6,167 Church St,N/A,,416-639-1107,,Oxford Properties Group900-200 Bay StTorontoONM5J2J2,Address,,www.oxfordproperties.com,"Toronto Metropolitan Municipality, ON",,"531310-Real Estate Property Managers
531111-Lessors of Residential Buildings and Dwellings (except Social Housing Projects)",Real Estate,"Real estate property management, Rental: apartment",,167 Church StM5B1Y6
Oxford Properties Group - Jazz,196802615,Oxford Properties Group - Jazz,6,167 Church St,N/A,,416-639-1107,,Oxford Properties Group900-200 Bay StTorontoONM5J2J2,Address,,www.oxfordproperties.com,"Toronto Metropolitan Municipality, ON",,"531310-Real Estate Property Managers
531111-Lessors of Residential Buildings and Dwellings (except Social Housing Projects)",Real Estate,"Real estate property management, Rental: apartment",,167 Church StM5B1Y6
Oxford Properties Group - Motion,196802618,Oxford Properties Group - Motion,10,570 Bay St,N/A,,416-639-1108,,Oxford Properties Group900-200 Bay StTorontoONM5J2J2,Address,,www.oxfordproperties.com,"Toronto Metropolitan Municipality, ON",,"531111-Lessors of Residential Buildings and Dwellings (except Social Housing Projects)
531310-Real Estate Property Managers",Real Estate,"Real estate property management, Rental: apartment",,570 Bay StM5G0B2
Oxford Properties Group - Office Leasing,196802701,Oxford Properties Group - Office Leasing,6,170 Bloor St W,N/A,,416-350-7939,,Oxford Properties Group900-200 Bay StTorontoONM5J2J2,Address,,www.oxfordproperties.com,"Toronto Metropolitan Municipality, ON",Sonya Donovan-Leasing Contact,531310-Real Estate Property Managers,Real Estate,Property management: commercial,,170 Bloor St WM5S1T9
Oxford Properties Group - Office Leasing,196802703,Oxford Properties Group - Office Leasing,8,277 Front St W,N/A,,416-865-8401,,Oxford Properties Group900-200 Bay StTorontoONM5J2J2,Address,,www.oxfordproperties.com,"Toronto Metropolitan Municipality, ON",Mya Rahimian-Leasing Contact,531310-Real Estate Property Managers,Real Estate,Property management: commercial,,277 Front St WM5V2X4
Oxford Properties Group - Waterpark Place,196802707,Oxford Properties Group - Waterpark Place,3,88 Queens Quay W,N/A,,416-868-3644,,Oxford Properties Group900-200 Bay StTorontoONM5J2J2,Address,,www.oxfordproperties.com,"Toronto Metropolitan Municipality, ON",Mark Hao-Leasing Contact,531310-Real Estate Property Managers,Real Estate,Property management,,88 Queens Quay WM5J0B8
Oxford Properties Group - Waterpark Place,196802665,Oxford Properties Group - Waterpark Place,2,20 Bay St,N/A,,416-868-3717,,Oxford Properties Group900-200 Bay StTorontoONM5J2J2,Address,,www.oxfordproperties.com,"Toronto Metropolitan Municipality, ON",Rita Mercado-Leasing Contact,531120-Lessors of Non-Residential Buildings (except Mini-Warehouses),Real Estate,Shopping centers: management/operation,,20 Bay StM5J2N6
Oxford Properties Group Dynamic Funds Tower,113541102,Oxford Properties Group - Dynamic Funds Tower,5,1 Adelaide St E,N/A,,416-350-7939,,Oxford Properties Group900-200 Bay StTorontoONM5J2J2,Address,,www.oxfordproperties.com,"Toronto Metropolitan Municipality, ON",Sonya Donovan-Leasing Contact,531120-Lessors of Non-Residential Buildings (except Mini-Warehouses),Real Estate,Shopping centers: management/operation,,"1 Adelaide St EToronto,ONM6N5H6"
Oxford Properties Group Rosewell Gardens Apartment,196802621,Oxford Properties Group - Rosewell Gardens Apartments,6,515 Rosewell Ave,N/A,,888-654-2135,,Oxford Properties Group900-200 Bay StTorontoONM5J2J2,Address,,www.oxfordproperties.com,"Toronto Metropolitan Municipality, ON",,"531111-Lessors of Residential Buildings and Dwellings (except Social Housing Projects)
531310-Real Estate Property Managers",Real Estate,"Property management, Rental: apartment",,515 Rosewell AveM4R2J3
Oxford Properties Group TD Canada Trust Tower,196802663,Oxford Properties Group - TD Canada Trust Tower,,161 Bay St,N/A,,416-868-3717,,Oxford Properties Group900-200 Bay StTorontoONM5J2J2,Address,,www.oxfordproperties.com,"Toronto Metropolitan Municipality, ON",Rita Mercado-Leasing Contact,531120-Lessors of Non-Residential Buildings (except Mini-Warehouses),Real Estate,Shopping centers: management/operation,,161 Bay StM5J2T3
Oxobioplast Inc.,92517344,Oxobioplast Inc.,4,1100-120 Eglinton Ave E,$1-5 Million,,416-322-2937,2007,,Address,416-322-5075,www.oxobioplast.com,"Toronto Metropolitan Municipality, ON",Mr. Kenny Griffith-VP-Sls/Mktg,"418410-Chemical (except Agricultural) and Allied Product Merchant Wholesalers
417230-Industrial Machinery, Equipment and Supplies Merchant Wholesalers
325130-Synthetic Dye and Pigment Manufacturing
325210-Resin and Synthetic Rubber Manufacturing","Distributor
Manufacturer","Additives: plastic, biodegradable, Resins: plastic, biodegradable, Additives: plastic, Resins: plastics",YExport Countries:United States,"1100-120 Eglinton Ave EToronto,ONM4P1E2"
OYA Solar Inc.,110565262,OYA Solar Inc.,12,144 Front St W,$1-5 Million,,416-840-3358,2009,,Address,416-860-6666,www.oyasolar.com,"Toronto Metropolitan Municipality, ON",Mr. Manish Nayar-Owner,"541330-Engineering Services
417230-Industrial Machinery, Equipment and Supplies Merchant Wholesalers
541710-Research and Development in the Physical, Engineering and Life Sciences
237130-Power and Communication Line and Related Structures Construction","Construction
Professional, Scientific & Technical Services
Wholesaler","Solar system installation, Engineering consultants: renewable energy, Research & development: renewable energy, Solar energy equipment",N,"144 Front St WNorth York,ONM5J2L7"
P. Brito Travel Inc.,19041087,P. Brito Travel Inc.,2,1510 Dundas St W,Under $1 Million,,416-532-8192,1977,,Address,416-531-3878,,"Toronto Metropolitan Municipality, ON",Mrs. Paula Fialho-Owner,"561510-Travel Agencies
611690-All Other Schools and Instruction","Administrative and Support, Waste Management and Remediation Services
Educational Services","Travel agency, Driving school",N,"1510 Dundas St WMain FloorToronto,ONM6K1T5"
P.O.S. Canada,18980674,P.O.S. Canada,80,134 Beter St,N/A,,905-629-2990,1988,,Address,905-629-9552,www.poscanada.com,"Toronto Metropolitan Municipality, ON",Mr. Bruce Henderson-Pres,"511211-Software Publishers (Except Video Game Publishers)
417310-Computer, Computer Peripheral and Pre-Packaged Software Merchant Wholesalers","Information and Cultural Industries
Distributor","Computer software: restaurant industry, Terminals: POS",N,"134 Beter StMississauga,ONM5B2H2"
p.s. PlayGames,67626245,p.s. PlayGames,2,1016-230 Queens Quay W,Under $1 Million,,416-921-5624,2005,,Address,416-944-2251,www.playupset.com,"Toronto Metropolitan Municipality, ON","Mr. Stuart Fairhurst-Co-Owner/CEO
Mr. Paul Thomas-Co-Owner/CEO","339930-Doll, Toy and Game Manufacturing",Manufacturer,Games: board,N,"1016-230 Queens Quay WToronto,ONM5J2Y7"
P.T. Diamonds,122670144,P.T. Diamonds,,1305-55 Queen St E,N/A,,416-907-4234,,,Address,,www.ptdiamonds.com,"Toronto Metropolitan Municipality, ON",,"448310-Jewellery Stores
414410-Jewellery and Watch Merchant Wholesalers","Wholesaler
Retail","Diamonds, Jewellery store",,"1305-55 Queen St EToronto,ONM5C1R6"
"PAC, Packaging Consortium",35895294,"PAC, Packaging Consortium",10,607-1 Concorde Gate,Under $1 Million,,416-490-7860,1950,,Address,,www.pac.ca,"Toronto Metropolitan Municipality, ON","Ms. Lisa Abraham-Natl Dir-Event/Membership
Mr. James Downham-Pres/CEO
Ms. Cher Leveille-Controller
Ms. Lindsey Ogle-Events Coord",813910-Business Associations,Services,"Association: business, Association: trade",N,607-1 Concorde GateM3C3N6
Pace Productivity Inc.,68448458,Pace Productivity Inc.,1,350 Sunnyside Ave,Under $1 Million,,416-762-3453,1988,,Address,,www.getmoredone.com,"Toronto Metropolitan Municipality, ON",Mr. Mark Ellwood-Pres,541619-Other Management Consulting Services,"Professional, Scientific & Technical Services",Business consultants,N,"350 Sunnyside AveToronto,ONM6R2R6"
Pacific Coal Resources Ltd.,115593430,Pacific Coal Resources Ltd.,4,1100-333 Bay St,$1-5 Million,,416-360-8725,,,Address,416-360-7783,www.pacificcoal.ca,"Toronto Metropolitan Municipality, ON","Ms. Patricia Herrera-CFO
Mr. Hernan Martinez-Exec Chm/CEO
Mr. Luigi Nieto-COO
Mr. Ricardo Plata-Exec VP
Mr. Peter Volk-Gen Couns/Sec",213119-Other Support Activities for Mining,Mining and Oil & Gas Extraction,Mineral exploration,N,"1100-333 Bay StToronto,ONM5H2R2"
Pacific Commercial Marketing,30059168,Pacific Commercial Marketing Inc.,8,414 Spadina Ave,$1-5 Million,"2,000",416-596-7383,1984,Oceanic Inc.71 Judson StEtobicokeONM8Z1A4,Address,416-596-7383,,"Toronto Metropolitan Municipality, ON",Mr. Larry Daryanani-Pres/Owner,414110-Clothing and Clothing Accessories Merchant Wholesalers,Distributor,Clothing: promotional,Y,"414 Spadina AveToronto,ONM5T2G7"
Pacific Commercial Marketing,30059168,Pacific Commercial Marketing Inc.,8,414 Spadina Ave,$1-5 Million,"2,000",416-596-7383,1984,Oceanic Inc.71 Judson StEtobicokeONM8Z1A4,Address,416-596-7383,,"Toronto Metropolitan Municipality, ON",Mr. Larry Daryanani-Pres/Owner,414110-Clothing and Clothing Accessories Merchant Wholesalers,Distributor,Clothing: promotional,Y,"414 Spadina AveToronto,ONM5T2G7"
Pacific Comox Resources Ltd.,73517280,Pacific Comox Resources Ltd.,2PO Box 13,,$1-5 Million,,416-977-4653,1975,,Address,416-977-8335,www.pacificcomox.com,"Toronto Metropolitan Municipality, ONStock Symbol:PCMMarket:TSX Venture Exchange",Mr. Donald Empey-Pres,213119-Other Support Activities for Mining,Mining and Oil & Gas Extraction,"Mining exploration: copper, Mining exploration & development",N,"2300-1 Dundas St WToronto,ONM5G1Z3"
Packet Communications Ltd.,113467513,Packet Communications Ltd.,1,981.2 Waverley Rd,Under $1 Million,,416-691-7373,1994,,Address,,,"Toronto Metropolitan Municipality, ON",,"417320-Electronic Components, Navigational and Communications Equipment and Supplies Merchant Wholesalers",Distributor,"Telecommunications products, Data communications equipment",N,"98 1.2 Waverley RdToronto,ONM4L3T3"
PACT,35939183,Professional Association of Canadian Theatres,6,555-215 Spadina Ave,Under $1 Million,,416-595-6455,1976,,Address,416-595-6450,www.pact.ca,"Toronto Metropolitan Municipality, ON","Mr. Jay Dodge-Pres
Ms. Janice Dowson-Bus Mgr
Ms. Lyndee Hansen-VP
Ms. Sara Meurling-Exec Dir
Ms. Meg Shannon-Membership & Commun Mgr
Mrs. Jasmine Spei-Labor Rel Mgr
Mr. Boomer Stacey-Prof Dev Mgr
Ms. Vicki Stroich-Treas",813910-Business Associations,Services,Association: business,N,555-215 Spadina AveM5T2C7
Padgett Business Services,18773615,Padgett Business Services of East Toronto,2,206-124 Merton St,Under $1 Million,600,416-489-2066,1992,,Address,416-489-2220,www.smallbiz.com,"Toronto Metropolitan Municipality, ON",Ms. Amal Attia-Pres/Owner,541212-Offices of Accountants,"Professional, Scientific & Technical Services","Accounting firm, Tax consultants, Income tax return preparation",N,"206-124 Merton StToronto,ONM4S2Z2"
Padulo Integrated Inc.,18757180,Padulo Integrated Inc.,67,1 St Clair Ave W,$5-10 Million,,416-966-4000,1985,,Address,416-966-4012,www.padulo.ca,"Toronto Metropolitan Municipality, ON","Ms. Linda Brock-Dir-Print Production
Mr. Bill Do-Network Sys Mgr
Mr. Maryjane Kovacs-Controller
Mr. Kamel Mikael-COO
Ms. Charmaine Montrait-Admn Mgr
Mr. Rick Padulo-Chm/Owner
Mr. Chris Stavenjord-Creative Dir",541810-Advertising Agencies,"Professional, Scientific & Technical Services",Advertising agency,N,1 St Clair Ave WFloor 10M4V1K7
Page Martin LLP,19812719,Page Martin LLP,4,800-150 York St,Under $1 Million,,416-595-9935,2006,,Address,416-595-1731,,"Toronto Metropolitan Municipality, ON","Ms. Jane Martin-Partner
Mr. Kenneth Page-Partner",541110-Offices of Lawyers,"Professional, Scientific & Technical Services",Legal firm,N,"800-150 York StToronto,ONM5H3S5"
